0,69,54,71,16,2,44,101,1,60,3,15,45,201,65,4,66,7,14,8,67,9,10,12,13,50,68,19,18,62,63,64,
4,"910,036",English,"193,259",ontology,"730,000",,thing,"1,001,090","1,981",is a synonym of,"730,000",,anything,,,,,,accepted,,2001-03-21,2001-03-21,Andries van Renssen,ECMv4 modelling team,"1,049",facts about concepts,,,,,,
5,"910,036",English,"193,259",ontology,"730,000",,something,"1,026,496","1,981",is a synonym of,"730,000",,anything,that can be thought of.,is an anything that can be thought of.,,,,accepted,,2008-11-27,2008-11-27,Andries van Renssen,Andries van Renssen,"1,047",facts about conceptual relations between individual things,,,,,,
6,"910,036",English,"193,259",ontology,"730,000",,object,"1,007,840","1,981",is a synonym of,"730,000",,anything,,,,,,accepted,,1998-03-03,2003-05-13,Fred Vonk,Andries van Renssen,"1,049",facts about concepts,,,,,,
7,"910,036",English,"193,259",ontology,"730,000",,unknown thing,"1,026,495","1,981",is a synonym of,"730,000",,anything,,,,,,accepted,,2008-11-27,2008-11-27,Andries van Renssen,Andries van Renssen,"1,047",facts about conceptual relations between individual things,,,,,,
8,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,129","4,714",can have a role as a,"3,819","0,1",guarded,,,,,,accepted,,1999-03-11,2001-10-09,Rob Moonen,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
9,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,903","4,714",can have a role as a,"4,342","0,1",referenced,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
10,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,906","4,714",can have a role as a,"4,482","0,1",derived,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
11,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,907","4,714",can have a role as a,"4,483","0,1",source for derivation,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
12,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,908","4,714",can have a role as a,"4,478","0,1",predecessor,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
13,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,909","4,714",can have a role as a,"4,479","0,1",successor,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
14,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,910","4,714",can have a role as a,"4,476","0,1",original,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
15,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,911","4,714",can have a role as a,"4,477","0,1",version,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
16,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,920","4,714",can have a role as a,"4,176","0,1",referenced within information,,,,,,accepted,,1999-03-11,1999-04-13,ISO 10303-221 modelling team,ISO 10303-221 modelling team,"1,045",facts about conceptual relations,,,,,,
17,"910,036",English,"193,259",ontology,"730,000","1,1",anything,"1,001,934","4,714",can have a role as a,"4,536","0,1",uniqueness context for qualitative reference,,,,,,accepted,,1999-09-03,1999-09-03,Epistle modelling team,Epistle modelling team,"1,045",facts about conceptual relations,,,,,,
