0,69,54,71,16,2,44,101,1,60,3,15,45,201,65,4,66,7,14,8,67,9,10,12,13,50,68,
42,"910,036",English,"193,259",ontology,"1,331","0,n",actual aspect,"1,006,075","5,283",is by definition qualified as,"910,764","1,1",actual,,,,,,accepted,,2001-09-19,2001-09-19,Andries van Renssen,Andries van Renssen,"1,045",facts about conceptual relations,
253,"910,036",English,"193,259",ontology,"5,070",,address of a physical object,"1,025,042","5,091",can be a realization of a,"5,414",,conceptual address of a physical object,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
117,"910,036",English,"193,259",ontology,"1,751",,adjacency of mathematical point,"1,006,412","5,091",can be a realization of a,"1,850",,qualitative adjacency of mathematical point,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
111,"910,036",English,"193,259",ontology,"1,744",,adjacency of spatial point,"1,006,409","5,091",can be a realization of a,"1,891",,by definition being adjacent of spatial points,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
290,"910,036",English,"193,259",ontology,"1,187",,approval of an object,"1,025,132","5,091",can be a realization of a,"5,593",,conceptual approval of an object,,,,,,accepted,,2011-02-08,2011-02-08,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
123,"910,036",English,"193,259",ontology,"1,754",,approximation of mathematical space by points,"1,006,413","5,091",can be a realization of a,"1,805",,conceptual approximation of mathematical space by points,,,,,,accepted,,2002-02-28,2004-12-16,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
435,"910,036",English,"191,874",physics,"730,063",,artefact,"1,730,105","1,146",is a specialization of,"731,005",,inanimate physical object,that is made or given shape by man,is an inanimate physical object that is made or given shape by man,,,,accepted,,2001-03-07,2001-03-07,Andries van Renssen,Roel Murris,"100,537",facts about physical objects,
436,"910,036",English,"191,874",physics,"730,063",,artifact,"1,730,095","1,981",is a synonym of,"730,063",,artefact,,,,,,accepted,,2000-11-25,2000-11-25,Andries van Renssen,Webster,"100,537",facts about physical objects,
271,"910,036",English,"193,259",ontology,"5,248",,aspect of a part of a physical object,"1,001,076","5,091",can be a realization of a,"5,247",,conceptual aspect of a part of a physical object,,,,,,accepted,,2005-10-11,2005-10-11,Rob Moonen,Rob Moonen,"1,044",facts about realization relations,
16,"910,036",English,"193,259",ontology,"1,190",,assembly relation of a part in a whole individual physical object,"1,006,362","5,091",can be a realization of a,"1,191",,conceptual assembly relation of a part in a whole individual physical object,,,,,,accepted,,2002-02-28,2003-08-19,Andries van Renssen,Andries van Renssen,"1,044",facts about realization relations,
